age,identifier,section,region,human_cell_count,has_human_count
p20,M648,027,VISpor,,False
p20,M648,027,VISrl,,False
p20,M648,028,RSPd,,False
p20,M648,028,RSPv,,False
p20,M648,028,VISa,,False
p20,M648,028,VISal,,False
p20,M648,028,VISam,,False
p20,M648,028,VISl,,False
p20,M648,028,VISli,,False
p20,M648,028,VISp,,False
p20,M648,028,VISpm,,False
p20,M648,028,VISpor,,False
p20,M648,028,VISrl,,False
p20,M648,029,RSPd,,False
p20,M648,029,RSPv,,False
p20,M648,029,VISa,,False
p20,M648,029,VISal,,False
p20,M648,029,VISam,,False
p20,M648,029,VISl,,False
p20,M648,029,VISli,,False
p20,M648,029,VISp,,False
p20,M648,029,VISpm,,False
p20,M648,029,VISpor,,False
p20,M648,029,VISrl,,False
p20,M648,030,RSPd,,False
p20,M648,030,RSPv,,False
p20,M648,030,VISa,,False
p20,M648,030,VISal,,False
p20,M648,030,VISam,,False
p20,M648,030,VISl,,False
p20,M648,030,VISli,,False
p20,M648,030,VISp,,False
p20,M648,030,VISpm,,False
p20,M648,030,VISpor,,False
p20,M648,030,VISrl,,False
p20,M648,031,RSPd,,False
p20,M648,031,RSPv,,False
p20,M648,031,VISa,,False
p20,M648,031,VISal,,False
p20,M648,031,VISam,,False
p20,M648,031,VISl,,False
p20,M648,031,VISli,,False
p20,M648,031,VISp,,False
p20,M648,031,VISpm,,False
p20,M648,031,VISpor,,False
p20,M648,031,VISrl,,False
p20,M648,032,RSPd,,False
p20,M648,032,RSPv,,False
p20,M648,032,VISa,,False
p20,M648,032,VISal,,False
p20,M648,032,VISam,,False
p20,M648,032,VISl,,False
p20,M648,032,VISli,,False
p20,M648,032,VISp,,False
p20,M648,032,VISpm,,False
p20,M648,032,VISpor,,False
p20,M648,032,VISrl,,False
p20,M648,033,RSPd,,False
p20,M648,033,RSPv,,False
p20,M648,033,VISa,,False
p20,M648,033,VISal,,False
p20,M648,033,VISam,,False
p20,M648,033,VISl,,False
p20,M648,033,VISli,,False
p20,M648,033,VISp,,False
p20,M648,033,VISpm,,False
p20,M648,033,VISpor,,False
p20,M648,033,VISrl,,False
p20,M648,034,RSPd,,False
p20,M648,034,RSPv,,False
p20,M648,034,VISa,,False
p20,M648,034,VISal,,False
p20,M648,034,VISam,,False
p20,M648,034,VISl,,False
p20,M648,034,VISli,,False
p20,M648,034,VISp,,False
p20,M648,034,VISpm,,False
p20,M648,034,VISpor,,False
p20,M648,034,VISrl,,False
p20,M648,035,RSPd,,False
p20,M648,035,RSPv,,False
p20,M648,035,VISa,,False
p20,M648,035,VISal,,False
p20,M648,035,VISam,,False
p20,M648,035,VISl,,False
p20,M648,035,VISli,,False
p20,M648,035,VISp,,False
p20,M648,035,VISpm,,False
p20,M648,035,VISpor,,False
p20,M648,035,VISrl,,False
p20,M648,036,RSPd,,False
p20,M648,036,RSPv,,False
p20,M648,036,VISa,,False
p20,M648,036,VISal,,False
p20,M648,036,VISam,,False
p20,M648,036,VISl,,False
p20,M648,036,VISli,,False
p20,M648,036,VISp,,False
p20,M648,036,VISpm,,False
p20,M648,036,VISpor,,False
p20,M648,036,VISrl,,False
p20,M648,037,RSPd,,False
p20,M648,037,RSPv,,False
p20,M648,037,VISa,,False
p20,M648,037,VISal,,False
p20,M648,037,VISam,,False
p20,M648,037,VISl,,False
p20,M648,037,VISli,,False
p20,M648,037,VISp,,False
p20,M648,037,VISpm,,False
p20,M648,037,VISpor,,False
p20,M648,037,VISrl,,False
p20,M648,038,RSPd,,False
p20,M648,038,RSPv,,False
p20,M648,038,VISa,,False
p20,M648,038,VISal,,False
p20,M648,038,VISam,,False
p20,M648,038,VISl,,False
p20,M648,038,VISli,,False
p20,M648,038,VISp,,False
p20,M648,038,VISpm,,False
p20,M648,038,VISpor,,False
p20,M648,038,VISrl,,False
p20,M648,039,RSPd,,False
p20,M648,039,RSPv,,False
p20,M648,039,VISa,,False
p20,M648,039,VISal,,False
p20,M648,039,VISam,,False
p20,M648,039,VISl,,False
p20,M648,039,VISli,,False
p20,M648,039,VISp,,False
p20,M648,039,VISpm,,False
p20,M648,039,VISpor,,False
p20,M648,039,VISrl,,False
p20,M648,040,RSPd,,False
p20,M648,040,RSPv,,False
p20,M648,040,VISa,,False
p20,M648,040,VISal,,False
p20,M648,040,VISam,,False
p20,M648,040,VISl,,False
p20,M648,040,VISli,,False
p20,M648,040,VISp,,False
p20,M648,040,VISpm,,False
p20,M648,040,VISpor,,False
p20,M648,040,VISrl,,False
p20,M648,041,RSPd,,False
p20,M648,041,RSPv,,False
p20,M648,041,VISa,,False
p20,M648,041,VISal,,False
p20,M648,041,VISam,,False
