age,identifier,region,image_filename,raw_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,VISpor,M608_s071_VISpor.tif,28347470,2690100,1440220
adult,M608,VISpor,M608_s072_VISpor.tif,81001185,1634040,818500
adult,M608,VISrl,M608_s014_VISrl.tif,35123,6400,3600
adult,M608,VISrl,M608_s015_VISrl.tif,567483,204000,64000
adult,M608,VISrl,M608_s016_VISrl.tif,4486345,1475340,295300
adult,M608,VISrl,M608_s017_VISrl.tif,831465,336000,97200
adult,M608,VISrl,M608_s018_VISrl.tif,6231992,1224000,424800
adult,M608,VISrl,M608_s019_VISrl.tif,10177821,1721340,665080
adult,M608,VISrl,M608_s020_VISrl.tif,12131773,2158000,1034000
adult,M608,VISrl,M608_s021_VISrl.tif,20773782,2521500,1380500
adult,M608,VISrl,M608_s022_VISrl.tif,19420593,2582480,1550900
adult,M608,VISrl,M608_s023_VISrl.tif,29201584,3490580,2280620
adult,M608,VISrl,M608_s024_VISrl.tif,27111283,3952460,2373180
adult,M608,VISrl,M608_s025_VISrl.tif,24568470,4529940,2427780
adult,M608,VISrl,M608_s027_VISrl.tif,17246265,3249400,1731240
adult,M608,VISrl,M608_s028_VISrl.tif,34796515,2715180,1724360
adult,M608,VISrl,M608_s029_VISrl.tif,30907398,4232000,2284000
adult,M608,VISrl,M608_s030_VISrl.tif,26917384,3240240,2163300
adult,M608,VISrl,M608_s031_VISrl.tif,28677475,3530800,2096800
adult,M608,VISrl,M608_s032_VISrl.tif,25903457,2923780,1582700
adult,M608,VISrl,M608_s033_VISrl.tif,29969265,4748920,2626840
adult,M608,VISrl,M608_s034_VISrl.tif,23622664,3881940,2248880
adult,M608,VISrl,M608_s035_VISrl.tif,27685703,4278780,2595240
adult,M608,VISrl,M608_s037_VISrl.tif,5597030,1279760,511220
adult,M609,RSPagl,M609_s037_RSPagl.tif,58295278,3835200,977840
adult,M609,RSPagl,M609_s043_RSPagl.tif,8054051,1176000,536400
adult,M609,RSPagl,M609_s048_RSPagl.tif,31239097,2741200,659600
adult,M609,RSPd,M609_s046_RSPd.tif,26981999,3806400,1162800
adult,M609,VISa,M609_s001_VISa.tif,97148847,4702760,3211880
adult,M609,VISa,M609_s004_VISa.tif,41319033,4458080,3594120
adult,M609,VISa,M609_s005_VISa.tif,36900937,1715200,1420800
adult,M609,VISal,M609_s010_VISal.tif,8092110,3182400,1679386
adult,M609,VISal,M609_s018_VISal.tif,14642073,4218060,2157900
adult,M609,VISal,M609_s025_VISal.tif,8546053,3887720,2006920
adult,M609,VISam,M609_s001_VISam.tif,32311851,1510740,1061900
adult,M609,VISam,M609_s006_VISam.tif,14075162,1154400,662000
adult,M609,VISam,M609_s007_VISam.tif,15086132,2558400,1886200
adult,M609,VISam,M609_s008_VISam.tif,8364257,2268000,1129600
adult,M609,VISam,M609_s009_VISam.tif,21929970,1672000,1024000
adult,M609,VISam,M609_s015_VISam.tif,36740204,2851500,1955040
adult,M609,VISl,M609_s019_VISl.tif,4523449,2007920,1080460
adult,M609,VISl,M609_s020_VISl.tif,8943651,3366000,1830400
adult,M609,VISl,M609_s021_VISl.tif,7603100,3040000,1632400
adult,M609,VISl,M609_s027_VISl.tif,16796294,3061700,1518020
adult,M609,VISl,M609_s028_VISl.tif,16367415,4249800,2065940
adult,M609,VISl,M609_s029_VISl.tif,8995947,3163120,1596960
adult,M609,VISl,M609_s031_VISl.tif,10894486,3904840,1906556
adult,M609,VISl,M609_s032_VISl.tif,9907396,3540780,1782860
adult,M609,VISl,M609_s033_VISl.tif,13466778,3457800,1754540
adult,M609,VISl,M609_s034_VISl.tif,15265945,2455580,1197280
adult,M609,VISl,M609_s035_VISl.tif,21986001,2887300,1429860
adult,M609,VISl,M609_s036_VISl.tif,67254117,3616000,1738400
adult,M609,VISl,M609_s037_VISl.tif,79354177,2545400,1194520
adult,M609,VISl,M609_s038_VISl.tif,34910546,2862860,1307100
adult,M609,VISl,M609_s039_VISl.tif,29295082,2869020,1425120
adult,M609,VISl,M609_s040_VISl.tif,42232399,2341080,1094920
adult,M609,VISl,M609_s043_VISl.tif,15416071,3149640,1614740
adult,M609,VISl,M609_s046_VISl.tif,40097927,2395980,1214840
adult,M609,VISl,M609_s047_VISl.tif,54669479,1866240,961600
