age,identifier,region,image_filename,raw_intensity_sum,masked_gauss_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,VISp,M608_s057_VISp.tif,114828208,2627363.4111483567,9765460,4728220
adult,M608,VISp,M608_s058_VISp.tif,408529333,11662276.54562527,8802000,4661700
adult,M608,VISp,M608_s059_VISp.tif,316753094,7494855.304686522,8834000,4910880
adult,M608,VISp,M608_s060_VISp.tif,110515726,2618597.3345529204,10932360,5356720
adult,M608,VISp,M608_s061_VISp.tif,95461782,2407186.951395516,9355000,4117840
adult,M608,VISp,M608_s062_VISp.tif,225700594,6738899.670545707,11363940,5049480
adult,M608,VISp,M608_s063_VISp.tif,64335647,1848782.661189084,10965480,5354420
adult,M608,VISp,M608_s064_VISp.tif,338039356,9088128.87942159,14588640,5305560
adult,M608,VISp,M608_s065_VISp.tif,153149299,5152620.591432831,11549460,4350540
adult,M608,VISp,M608_s066_VISp.tif,93303723,2579654.476919762,16031720,6128520
adult,M608,VISp,M608_s067_VISp.tif,125751251,3631062.1979098576,7626800,5067820
adult,M608,VISp,M608_s068_VISp.tif,177653966,5996361.353939337,11928060,4734960
adult,M608,VISp,M608_s069_VISp.tif,303637013,7325733.413002503,12641120,5052440
adult,M608,VISp,M608_s070_VISp.tif,190268485,4147339.346495582,12648243,5164281
adult,M608,VISp,M608_s071_VISp.tif,103376392,2440260.2615449456,9733862,3937681
adult,M608,VISp,M608_s072_VISp.tif,417290204,13303009.538818147,9949084,4559801
adult,M608,VISpl,M608_s064_VISpl.tif,4485204,92722.83432594383,213180,110560
adult,M608,VISpl,M608_s065_VISpl.tif,3056557,64492.57086162741,201240,108760
adult,M608,VISpl,M608_s066_VISpl.tif,1617918,37156.89940284557,279600,135520
adult,M608,VISpl,M608_s067_VISpl.tif,2648385,64860.98370619633,280280,129620
adult,M608,VISpl,M608_s068_VISpl.tif,6021577,129121.72242997015,429200,200400
adult,M608,VISpl,M608_s069_VISpl.tif,21341414,464398.61340371944,1383480,366200
adult,M608,VISpl,M608_s070_VISpl.tif,15792389,319567.7923926967,1445660,560980
adult,M608,VISpl,M608_s071_VISpl.tif,21146755,521423.49224513856,2613920,1125460
adult,M608,VISpl,M608_s072_VISpl.tif,94576554,2362518.2078004554,2163741,1044401
adult,M608,VISpm,M608_s025_VISpm.tif,17669851,1376688.1068032954,842400,504000
adult,M608,VISpm,M608_s032_VISpm.tif,403070,71772.78946093863,48000,26400
adult,M608,VISpm,M608_s033_VISpm.tif,2515150,298079.06311735854,520000,194400
adult,M608,VISpm,M608_s034_VISpm.tif,21941580,1496003.1243093514,954800,578400
adult,M608,VISpm,M608_s035_VISpm.tif,15350792,1826973.2385601131,1141140,811740
adult,M608,VISpm,M608_s036_VISpm.tif,3374799,138303.6396156391,1522800,1036000
adult,M608,VISpm,M608_s037_VISpm.tif,6781181,677661.5998660781,2046240,1728220
adult,M608,VISpm,M608_s038_VISpm.tif,3938355,289903.22245294554,1681500,1219680
adult,M608,VISpm,M608_s039_VISpm.tif,5506274,298937.26824719267,1598400,1174400
adult,M608,VISpm,M608_s040_VISpm.tif,3137172,186462.60485643687,1332800,1006000
adult,M608,VISpm,M608_s041_VISpm.tif,3236804,194718.06163313266,1305600,940000
adult,M608,VISpm,M608_s042_VISpm.tif,4103021,237244.5446751699,1332480,990400
adult,M608,VISpm,M608_s043_VISpm.tif,3449386,156278.37922920415,1394940,898480
adult,M608,VISpm,M608_s044_VISpm.tif,2814515,206682.52386883268,1289600,876800
adult,M608,VISpm,M608_s045_VISpm.tif,5985767,159550.4543566388,1215200,783200
adult,M608,VISpm,M608_s046_VISpm.tif,3260807,255671.24875729595,1296820,692840
adult,M608,VISpm,M608_s047_VISpm.tif,1325846,62467.32040590182,1125600,654800
adult,M608,VISpm,M608_s048_VISpm.tif,1870757,83841.94806247407,1066000,590000
adult,M608,VISpm,M608_s049_VISpm.tif,1890860,73579.59717812882,686000,372000
adult,M608,VISpm,M608_s050_VISpm.tif,1922483,60280.80673778673,686400,407200
adult,M608,VISpm,M608_s051_VISpm.tif,1719175,57656.46019317197,963200,569600
adult,M608,VISpm,M608_s052_VISpm.tif,2274785,93069.49032841403,370000,221200
adult,M608,VISpm,M608_s053_VISpm.tif,5240914,271405.0911489117,470400,256800
adult,M608,VISpm,M608_s054_VISpm.tif,3765674,126787.87499935186,319200,187200
adult,M608,VISpm,M608_s055_VISpm.tif,784707,30860.315217856834,377200,222000
adult,M608,VISpm,M608_s056_VISpm.tif,4506292,194218.70860609337,459200,258000
adult,M608,VISpm,M608_s057_VISpm.tif,4107764,186965.54537706872,269440,150120
adult,M608,VISpm,M608_s058_VISpm.tif,6726403,385705.711849765,224000,135200
adult,M608,VISpm,M608_s059_VISpm.tif,14250263,327535.0033442313,367200,176000
adult,M608,VISpm,M608_s060_VISpm.tif,4625083,121342.74547383751,328000,188400
adult,M608,VISpm,M608_s061_VISpm.tif,3472974,79024.87044676713,197200,109200
adult,M608,VISpm,M608_s062_VISpm.tif,12736507,361042.2477420226,384000,188400
adult,M608,VISpm,M608_s063_VISpm.tif,2247093,101876.50441694476,368000,220800
adult,M608,VISpm,M608_s064_VISpm.tif,2282616,170261.78454884916,57600,28000
adult,M608,VISpm,M608_s065_VISpm.tif,725731,84330.541691545,42000,23200
adult,M608,VISpm,M608_s066_VISpm.tif,707739,19980.756742752783,56000,34800
adult,M608,VISpm,M608_s067_VISpm.tif,486777,36071.129523494696,76480,22700
adult,M608,VISpm,M608_s068_VISpm.tif,585315,65475.86942986255,33600,19600
adult,M608,VISpm,M608_s069_VISpm.tif,76231,1022.0762200734123,1200,1200
adult,M608,VISpor,M608_s049_VISpor.tif,173673,14999.067977084338,212800,76000
adult,M608,VISpor,M608_s050_VISpor.tif,754031,57235.778338775155,719200,330800
adult,M608,VISpor,M608_s051_VISpor.tif,2789371,32442.79520742798,1992800,937200
adult,M608,VISpor,M608_s052_VISpor.tif,9912550,258376.92138230623,3120000,1439200
adult,M608,VISpor,M608_s053_VISpor.tif,15434746,380586.55469138484,2642200,1284660
adult,M608,VISpor,M608_s054_VISpor.tif,19080662,481974.06581360305,3973920,1808460
adult,M608,VISpor,M608_s055_VISpor.tif,3301006,855.9599110624478,3732120,1650820
adult,M608,VISpor,M608_s056_VISpor.tif,25181667,644786.578935966,4253620,2036540
adult,M608,VISpor,M608_s057_VISpor.tif,19892244,452622.6521975392,3942400,1828800
adult,M608,VISpor,M608_s058_VISpor.tif,260830908,5488057.452980167,6363000,2986340
adult,M608,VISpor,M608_s059_VISpor.tif,183840468,3849796.106342285,6198560,2775880
adult,M608,VISpor,M608_s060_VISpor.tif,46374793,996745.6664752889,4350000,2140000
adult,M608,VISpor,M608_s061_VISpor.tif,70567611,1471746.6428955528,5684280,2805960
adult,M608,VISpor,M608_s062_VISpor.tif,73258456,1515330.3782013305,3791020,2416160
adult,M608,VISpor,M608_s063_VISpor.tif,10676849,198256.42102365362,3302400,1512800
adult,M608,VISpor,M608_s064_VISpor.tif,150495576,4320530.269076484,4982120,2925480
adult,M608,VISpor,M608_s065_VISpor.tif,77824582,2115794.982331109,5792360,2514260
adult,M608,VISpor,M608_s066_VISpor.tif,40460663,1184268.7154527542,4018920,2459640
adult,M608,VISpor,M608_s067_VISpor.tif,37598467,823777.7472927544,2339160,1634900
adult,M608,VISpor,M608_s068_VISpor.tif,91011930,2668270.4293390694,4942280,2990380
adult,M608,VISpor,M608_s069_VISpor.tif,140625166,4000816.1546511743,3773580,2539600
adult,M608,VISpor,M608_s070_VISpor.tif,82122908,2173969.594896641,3975092,2326961
adult,M608,VISpor,M608_s071_VISpor.tif,28347470,860321.640966394,2690100,1440220
adult,M608,VISpor,M608_s072_VISpor.tif,81001185,3050149.0475874688,1634040,818500
adult,M608,VISrl,M608_s014_VISrl.tif,35123,2363.234813523267,6400,3600
adult,M608,VISrl,M608_s015_VISrl.tif,567483,88122.24683014998,204000,64000
adult,M608,VISrl,M608_s016_VISrl.tif,4486345,714388.8489040962,1475340,295300
adult,M608,VISrl,M608_s017_VISrl.tif,831465,68633.8821185935,336000,97200
adult,M608,VISrl,M608_s018_VISrl.tif,6231992,912848.8185446465,1224000,424800
adult,M608,VISrl,M608_s019_VISrl.tif,10177821,1547089.516581931,1721340,665080
adult,M608,VISrl,M608_s020_VISrl.tif,12131773,1662850.482268049,2158000,1034000
adult,M608,VISrl,M608_s021_VISrl.tif,20773782,3053967.911605537,2521500,1380500
adult,M608,VISrl,M608_s022_VISrl.tif,19420593,2976507.23304134,2582480,1550900
adult,M608,VISrl,M608_s023_VISrl.tif,29201584,3900298.886579819,3490580,2280620
adult,M608,VISrl,M608_s024_VISrl.tif,27111283,3360349.623694236,3952460,2373180
adult,M608,VISrl,M608_s025_VISrl.tif,24568470,2838645.9408614854,4529940,2427780
adult,M608,VISrl,M608_s027_VISrl.tif,17246265,2640405.5583367446,3249400,1731240
adult,M608,VISrl,M608_s028_VISrl.tif,34796515,3822339.834049461,2715180,1724360
adult,M608,VISrl,M608_s029_VISrl.tif,30907398,4046804.2712469166,4232000,2284000
adult,M608,VISrl,M608_s030_VISrl.tif,26917384,3597566.9945799927,3240240,2163300
adult,M608,VISrl,M608_s031_VISrl.tif,28677475,3553469.3883094215,3530800,2096800
adult,M608,VISrl,M608_s032_VISrl.tif,25903457,3455472.998116669,2923780,1582700
adult,M608,VISrl,M608_s033_VISrl.tif,29969265,4034424.6814551465,4748920,2626840
adult,M608,VISrl,M608_s034_VISrl.tif,23622664,2971036.46083936,3881940,2248880
adult,M608,VISrl,M608_s035_VISrl.tif,27685703,3284126.1217021146,4278780,2595240
adult,M608,VISrl,M608_s037_VISrl.tif,5597030,812667.0331804232,1279760,511220
adult,M609,RSPagl,M609_s037_RSPagl.tif,58295278,1810798.1182707315,3835200,977840
adult,M609,RSPagl,M609_s043_RSPagl.tif,8054051,230129.89715805446,1176000,536400
adult,M609,RSPagl,M609_s048_RSPagl.tif,31239097,902010.904648221,2741200,659600
adult,M609,RSPd,M609_s046_RSPd.tif,26981999,1007261.7063440816,3806400,1162800
adult,M609,VISa,M609_s001_VISa.tif,97148847,2412121.2319566896,4702760,3211880
adult,M609,VISa,M609_s004_VISa.tif,41319033,952289.4548214372,4458080,3594120
adult,M609,VISa,M609_s005_VISa.tif,36900937,620755.6392542355,1715200,1420800
adult,M609,VISal,M609_s010_VISal.tif,8092110,254486.49130845527,3182400,1679386
adult,M609,VISal,M609_s018_VISal.tif,14642073,572757.4554604858,4218060,2157900
adult,M609,VISal,M609_s025_VISal.tif,8546053,354605.3767184222,3887720,2006920
adult,M609,VISam,M609_s001_VISam.tif,32311851,848717.7537254497,1510740,1061900
adult,M609,VISam,M609_s006_VISam.tif,14075162,545200.8387433722,1154400,662000
adult,M609,VISam,M609_s007_VISam.tif,15086132,438557.81025508215,2558400,1886200
adult,M609,VISam,M609_s008_VISam.tif,8364257,277596.9829743057,2268000,1129600
adult,M609,VISam,M609_s009_VISam.tif,21929970,415355.3425616956,1672000,1024000
adult,M609,VISam,M609_s015_VISam.tif,36740204,747895.0528954706,2851500,1955040
adult,M609,VISl,M609_s019_VISl.tif,4523449,200309.3381286515,2007920,1080460
adult,M609,VISl,M609_s020_VISl.tif,8943651,368894.1786580447,3366000,1830400
adult,M609,VISl,M609_s021_VISl.tif,7603100,235448.1792809647,3040000,1632400
adult,M609,VISl,M609_s027_VISl.tif,16796294,453876.5989385524,3061700,1518020
adult,M609,VISl,M609_s028_VISl.tif,16367415,436369.4573252517,4249800,2065940
adult,M609,VISl,M609_s029_VISl.tif,8995947,315436.64760895795,3163120,1596960
adult,M609,VISl,M609_s031_VISl.tif,10894486,381204.01707779116,3904840,1906556
adult,M609,VISl,M609_s032_VISl.tif,9907396,319653.7041730647,3540780,1782860
adult,M609,VISl,M609_s033_VISl.tif,13466778,381078.78644106106,3457800,1754540
adult,M609,VISl,M609_s034_VISl.tif,15265945,363085.9293480892,2455580,1197280
adult,M609,VISl,M609_s035_VISl.tif,21986001,471143.9210631236,2887300,1429860
adult,M609,VISl,M609_s036_VISl.tif,67254117,1687510.5932539834,3616000,1738400
adult,M609,VISl,M609_s037_VISl.tif,79354177,2340917.370641158,2545400,1194520
adult,M609,VISl,M609_s038_VISl.tif,34910546,906175.9027850598,2862860,1307100
adult,M609,VISl,M609_s039_VISl.tif,29295082,623848.2532609537,2869020,1425120
adult,M609,VISl,M609_s040_VISl.tif,42232399,914515.943224871,2341080,1094920
adult,M609,VISl,M609_s043_VISl.tif,15416071,458496.8693160876,3149640,1614740
adult,M609,VISl,M609_s046_VISl.tif,40097927,1133734.955387002,2395980,1214840
adult,M609,VISl,M609_s047_VISl.tif,54669479,1782125.885229706,1866240,961600
adult,M609,VISl,M609_s048_VISl.tif,80613616,2247918.7432140405,2408000,1335600
adult,M609,VISl,M609_s050_VISl.tif,24211638,622401.4091089673,2664000,1256000
adult,M609,VISli,M609_s033_VISli.tif,8005010,207576.91241756963,1988000,888800
adult,M609,VISli,M609_s040_VISli.tif,23514399,495853.84777562803,1591680,619720
adult,M609,VISli,M609_s046_VISli.tif,17900380,556412.5665812576,1579860,602040
adult,M609,VISli,M609_s047_VISli.tif,25684240,855456.1555489708,956840,465040
adult,M609,VISli,M609_s048_VISli.tif,40993747,1059750.035041711,1786400,767600
adult,M609,VISli,M609_s050_VISli.tif,11524661,256628.36148908592,1732400,627600
adult,M609,VISli,M609_s051_VISli.tif,34091900,1368802.991415757,896720,406020
adult,M609,VISli,M609_s052_VISli.tif,36796531,1027138.9191434332,814740,421720
adult,M609,VISli,M609_s053_VISli.tif,45009364,1524144.003883448,636000,355600
adult,M609,VISp,M609_s007_VISp.tif,32270059,2097913.7711245716,4696260,3844320
adult,M609,VISp,M609_s008_VISp.tif,30438451,2350350.137232084,5679480,3976480
adult,M609,VISp,M609_s009_VISp.tif,98531910,2643188.0573413693,6425800,4572920
adult,M609,VISp,M609_s010_VISp.tif,46270182,4563857.517602571,7356840,5085515
adult,M609,VISp,M609_s011_VISp.tif,141619697,12991922.032414602,9284100,6793820
adult,M609,VISp,M609_s012_VISp.tif,80041199,5874904.252938103,9500440,6468660
adult,M609,VISp,M609_s013_VISp.tif,116579353,11178921.96276091,8811560,5384820
adult,M609,VISp,M609_s014_VISp.tif,121844917,10906441.314985694,9422420,6552040
adult,M609,VISp,M609_s015_VISp.tif,55293172,1283745.6474680246,4081700,2867580
adult,M609,VISp,M609_s017_VISp.tif,77435069,7767223.444802689,8547120,5968760
adult,M609,VISp,M609_s018_VISp.tif,43986679,3743282.218405408,7332120,4619220
adult,M609,VISp,M609_s019_VISp.tif,124965953,10418290.10135577,8896560,4647520
adult,M609,VISp,M609_s020_VISp.tif,119797223,9856443.138375882,10301680,5684860
adult,M609,VISp,M609_s021_VISp.tif,100057882,8101590.342225703,10534680,6056780
adult,M609,VISp,M609_s022_VISp.tif,128674029,11441528.596125426,9297640,5614320
adult,M609,VISp,M609_s023_VISp.tif,115512383,9829178.638155047,10873200,5618640
adult,M609,VISp,M609_s024_VISp.tif,84305667,7192046.024849049,9465120,5869920
adult,M609,VISp,M609_s025_VISp.tif,96058168,8891723.87012132,11193840,5942780
adult,M609,VISp,M609_s026_VISp.tif,114384839,10729144.17918213,11861920,6295580
adult,M609,VISp,M609_s027_VISp.tif,72509762,3929889.6491586627,11644320,5863420
adult,M609,VISp,M609_s028_VISp.tif,81121388,6490622.254591616,13157480,6723200
adult,M609,VISp,M609_s029_VISp.tif,89573491,8276545.907337782,10870200,6454480
