age,identifier,region,image_filename,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,VISpl,M608_s068_VISpl.tif,6021577,128882.87702722626,429200,200400
adult,M608,VISpl,M608_s069_VISpl.tif,21341414,453882.718272517,1383480,366200
adult,M608,VISpl,M608_s070_VISpl.tif,15792389,315209.3014745431,1445660,560980
adult,M608,VISpl,M608_s071_VISpl.tif,21146755,500265.2912309881,2613920,1125460
adult,M608,VISpl,M608_s072_VISpl.tif,94576554,2112913.1155944737,2163741,1044401
adult,M608,VISpm,M608_s025_VISpm.tif,17669851,1285785.9550948117,842400,504000
adult,M608,VISpm,M608_s032_VISpm.tif,403070,52900.10599878835,48000,26400
adult,M608,VISpm,M608_s033_VISpm.tif,2515150,288835.7489671676,520000,194400
adult,M608,VISpm,M608_s034_VISpm.tif,21941580,1374129.694514621,954800,578400
adult,M608,VISpm,M608_s035_VISpm.tif,15350792,1592353.209071472,1141140,811740
adult,M608,VISpm,M608_s036_VISpm.tif,3374799,111984.10833696257,1522800,1036000
adult,M608,VISpm,M608_s037_VISpm.tif,6781181,601704.3079010895,2046240,1728220
adult,M608,VISpm,M608_s038_VISpm.tif,3938355,253908.5852652914,1681500,1219680
adult,M608,VISpm,M608_s039_VISpm.tif,5506274,252295.20922494854,1598400,1174400
adult,M608,VISpm,M608_s040_VISpm.tif,3137172,158651.35693759186,1332800,1006000
adult,M608,VISpm,M608_s041_VISpm.tif,3236804,174452.8541513025,1305600,940000
adult,M608,VISpm,M608_s042_VISpm.tif,4103021,198969.84078542507,1332480,990400
adult,M608,VISpm,M608_s043_VISpm.tif,3449386,150095.80212887647,1394940,898480
adult,M608,VISpm,M608_s044_VISpm.tif,2814515,194521.1267356359,1289600,876800
adult,M608,VISpm,M608_s045_VISpm.tif,5985767,146793.20480207086,1215200,783200
adult,M608,VISpm,M608_s046_VISpm.tif,3260807,231226.16713166123,1296820,692840
adult,M608,VISpm,M608_s047_VISpm.tif,1325846,49266.23241554616,1125600,654800
adult,M608,VISpm,M608_s048_VISpm.tif,1870757,71437.61199390676,1066000,590000
adult,M608,VISpm,M608_s049_VISpm.tif,1890860,66856.72749201878,686000,372000
adult,M608,VISpm,M608_s050_VISpm.tif,1922483,53725.58491936129,686400,407200
adult,M608,VISpm,M608_s051_VISpm.tif,1719175,45877.904836375084,963200,569600
adult,M608,VISpm,M608_s052_VISpm.tif,2274785,77477.41352886298,370000,221200
adult,M608,VISpm,M608_s053_VISpm.tif,5240914,175169.47150417816,470400,256800
adult,M608,VISpm,M608_s054_VISpm.tif,3765674,111624.72656365573,319200,187200
adult,M608,VISpm,M608_s055_VISpm.tif,784707,28324.392746920814,377200,222000
adult,M608,VISpm,M608_s056_VISpm.tif,4506292,146069.3305448251,459200,258000
