age,identifier,region,image_filename,raw_intensity_sum,masked_median_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,VISpor,M608_s058_VISpor.tif,260830908,5229516.0,6363000,2986340
adult,M608,VISpor,M608_s059_VISpor.tif,183840468,3851028.0,6198560,2775880
adult,M608,VISpor,M608_s060_VISpor.tif,46374793,979410.0,4350000,2140000
adult,M608,VISpor,M608_s061_VISpor.tif,70567611,1442071.0,5684280,2805960
adult,M608,VISpor,M608_s062_VISpor.tif,73258456,1559930.0,3791020,2416160
adult,M608,VISpor,M608_s063_VISpor.tif,10676849,183221.0,3302400,1512800
adult,M608,VISpor,M608_s064_VISpor.tif,150495576,3441588.0,4982120,2925480
adult,M608,VISpor,M608_s065_VISpor.tif,77824582,1697286.0,5792360,2514260
adult,M608,VISpor,M608_s066_VISpor.tif,40460663,883135.0,4018920,2459640
adult,M608,VISpor,M608_s067_VISpor.tif,37598467,743160.0,2339160,1634900
adult,M608,VISpor,M608_s068_VISpor.tif,91011930,2291095.0,4942280,2990380
adult,M608,VISpor,M608_s069_VISpor.tif,140625166,3019767.0,3773580,2539600
adult,M608,VISpor,M608_s070_VISpor.tif,82122908,1700761.0,3975092,2326961
adult,M608,VISpor,M608_s071_VISpor.tif,28347470,625270.0,2690100,1440220
adult,M608,VISpor,M608_s072_VISpor.tif,81001185,1861841.0,1634040,818500
adult,M608,VISrl,M608_s014_VISrl.tif,35123,3666.0,6400,3600
adult,M608,VISrl,M608_s015_VISrl.tif,567483,88006.0,204000,64000
adult,M608,VISrl,M608_s016_VISrl.tif,4486345,814951.0,1475340,295300
adult,M608,VISrl,M608_s017_VISrl.tif,831465,62518.0,336000,97200
adult,M608,VISrl,M608_s018_VISrl.tif,6231992,1036543.0,1224000,424800
adult,M608,VISrl,M608_s019_VISrl.tif,10177821,1747913.0,1721340,665080
adult,M608,VISrl,M608_s020_VISrl.tif,12131773,1758378.0,2158000,1034000
adult,M608,VISrl,M608_s021_VISrl.tif,20773782,3510085.0,2521500,1380500
adult,M608,VISrl,M608_s022_VISrl.tif,19420593,3375009.0,2582480,1550900
adult,M608,VISrl,M608_s023_VISrl.tif,29201584,4350246.0,3490580,2280620
adult,M608,VISrl,M608_s024_VISrl.tif,27111283,3592386.0,3952460,2373180
adult,M608,VISrl,M608_s025_VISrl.tif,24568470,3003754.0,4529940,2427780
adult,M608,VISrl,M608_s027_VISrl.tif,17246265,3216960.0,3249400,1731240
adult,M608,VISrl,M608_s028_VISrl.tif,34796515,4052547.0,2715180,1724360
adult,M608,VISrl,M608_s029_VISrl.tif,30907398,4302446.0,4232000,2284000
adult,M608,VISrl,M608_s030_VISrl.tif,26917384,3877018.0,3240240,2163300
adult,M608,VISrl,M608_s031_VISrl.tif,28677475,3939154.0,3530800,2096800
adult,M608,VISrl,M608_s032_VISrl.tif,25903457,3585854.0,2923780,1582700
adult,M608,VISrl,M608_s033_VISrl.tif,29969265,4458480.0,4748920,2626840
adult,M608,VISrl,M608_s034_VISrl.tif,23622664,3256462.0,3881940,2248880
adult,M608,VISrl,M608_s035_VISrl.tif,27685703,3459230.0,4278780,2595240
adult,M608,VISrl,M608_s037_VISrl.tif,5597030,960396.0,1279760,511220
adult,M609,RSPagl,M609_s037_RSPagl.tif,58295278,1190702.0,3835200,977840
adult,M609,RSPagl,M609_s043_RSPagl.tif,8054051,180775.0,1176000,536400
adult,M609,RSPagl,M609_s048_RSPagl.tif,31239097,622808.0,2741200,659600
adult,M609,RSPd,M609_s046_RSPd.tif,26981999,727343.0,3806400,1162800
adult,M609,VISa,M609_s001_VISa.tif,97148847,1580422.0,4702760,3211880
adult,M609,VISa,M609_s004_VISa.tif,41319033,867077.0,4458080,3594120
adult,M609,VISa,M609_s005_VISa.tif,36900937,561842.0,1715200,1420800
adult,M609,VISal,M609_s010_VISal.tif,8092110,99305.0,3182400,1679386
adult,M609,VISal,M609_s018_VISal.tif,14642073,341744.0,4218060,2157900
adult,M609,VISal,M609_s025_VISal.tif,8546053,243487.0,3887720,2006920
adult,M609,VISam,M609_s001_VISam.tif,32311851,526753.0,1510740,1061900
adult,M609,VISam,M609_s006_VISam.tif,14075162,369065.0,1154400,662000
adult,M609,VISam,M609_s007_VISam.tif,15086132,352914.0,2558400,1886200
adult,M609,VISam,M609_s008_VISam.tif,8364257,178564.0,2268000,1129600
adult,M609,VISam,M609_s009_VISam.tif,21929970,393372.0,1672000,1024000
adult,M609,VISam,M609_s015_VISam.tif,36740204,642302.0,2851500,1955040
adult,M609,VISl,M609_s019_VISl.tif,4523449,197208.0,2007920,1080460
adult,M609,VISl,M609_s020_VISl.tif,8943651,242054.0,3366000,1830400
adult,M609,VISl,M609_s021_VISl.tif,7603100,145145.0,3040000,1632400
adult,M609,VISl,M609_s027_VISl.tif,16796294,309903.0,3061700,1518020
adult,M609,VISl,M609_s028_VISl.tif,16367415,399415.0,4249800,2065940
adult,M609,VISl,M609_s029_VISl.tif,8995947,230722.0,3163120,1596960
adult,M609,VISl,M609_s031_VISl.tif,10894486,242241.0,3904840,1906556
adult,M609,VISl,M609_s032_VISl.tif,9907396,219127.0,3540780,1782860
adult,M609,VISl,M609_s033_VISl.tif,13466778,288667.0,3457800,1754540
adult,M609,VISl,M609_s034_VISl.tif,15265945,330100.0,2455580,1197280
adult,M609,VISl,M609_s035_VISl.tif,21986001,381174.0,2887300,1429860
adult,M609,VISl,M609_s036_VISl.tif,67254117,1339391.0,3616000,1738400
adult,M609,VISl,M609_s037_VISl.tif,79354177,1653539.0,2545400,1194520
adult,M609,VISl,M609_s038_VISl.tif,34910546,613404.0,2862860,1307100
adult,M609,VISl,M609_s039_VISl.tif,29295082,550445.0,2869020,1425120
adult,M609,VISl,M609_s040_VISl.tif,42232399,917105.0,2341080,1094920
adult,M609,VISl,M609_s043_VISl.tif,15416071,396836.0,3149640,1614740
adult,M609,VISl,M609_s046_VISl.tif,40097927,845422.0,2395980,1214840
adult,M609,VISl,M609_s047_VISl.tif,54669479,1221328.0,1866240,961600
adult,M609,VISl,M609_s048_VISl.tif,80613616,1651309.0,2408000,1335600
adult,M609,VISl,M609_s050_VISl.tif,24211638,506642.0,2664000,1256000
adult,M609,VISli,M609_s033_VISli.tif,8005010,175112.0,1988000,888800
