age,identifier,region,image_count,raw_intensity_sum,masked_gauss_intensity_sum,total_image_pixels,tissue_area_pixels
p6,M733,VISal,9,84008362,1847754.512136726,16003300,7860300
p6,M733,VISam,7,72932559,1278979.3104849877,11110160,6158260
p6,M733,VISl,17,157624607,4183314.5801766855,29730272,14841177
p6,M733,VISli,17,72162395,1699857.3512470645,17736017,7200038
p6,M733,VISp,29,972545256,67980052.51763,161052174,79761339
p6,M733,VISpl,2,9902896,177503.48423312843,2063980,619500
p6,M733,VISpm,23,179263525,3358800.8976134127,23736860,16397720
p6,M733,VISpor,7,106445478,2254708.7350880755,10351741,5724441
p6,M733,VISrl,13,128843929,2645384.570830001,22942120,11338080
p6,M734,RSPagl,43,296279305,8270423.004534256,64921700,30112900
p6,M734,RSPd,44,566947297,16617917.780178336,128099520,56423720
p6,M734,RSPv,41,645519817,16838869.24222958,146143460,75129900
p6,M734,VISa,15,166889634,4162596.97782354,98623480,18367480
p6,M734,VISal,7,74075970,2875399.640599869,17765860,9362300
p6,M734,VISam,11,113409294,2741390.949490859,13643480,8694260
p6,M734,VISl,10,69051271,4150394.612740779,18298120,7653780
p6,M734,VISli,9,37383692,1346092.6940256993,11463000,4434260
p6,M734,VISp,26,1941054710,169047952.66692555,266863747,104990942
p6,M734,VISpl,1,28921,3200.9632640220057,6000,2800
p6,M734,VISpm,23,162117051,7121308.885170146,27916740,18440800
p6,M734,VISpor,9,46889732,1191771.5551867515,9186291,4484000
p6,M734,VISrl,9,45125539,1411903.052863649,11688960,5011080
