age,identifier,region,image_count,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
p3,M729,RSPagl,11,56346845,17912657.881037474,15690500,8999660
p3,M729,RSPd,4,20953442,6988631.911965125,9849960,4789780
p3,M729,RSPv,5,43414466,14366035.667704895,16967780,9381200
p3,M729,VISa,4,79117379,25912042.407683782,13564000,7773720
p3,M729,VISal,1,839963,278702.36205516953,1408000,613528
p3,M729,VISam,6,43522748,14321480.176816935,12052160,7282400
p3,M729,VISl,4,12249138,3867283.26116307,5399540,2488100
p3,M729,VISli,1,765619,235691.15222695502,695600,273200
p3,M729,VISp,22,396386619,132895694.1017354,141210647,62483107
p3,M729,VISpm,7,9149380,2979375.1589031434,8069720,4651934
p3,M729,VISpor,1,3267234,1089854.8635575976,1771200,836000
p3,M730,RSPagl,15,106570444,34533059.67492271,15587020,9189240
p3,M730,RSPd,14,124903766,41197160.32423968,34547280,16897780
p3,M730,RSPv,2,40246752,13394502.85190663,6370260,3754040
p3,M730,VISa,4,49266741,16410213.261944441,9387860,5516640
p3,M730,VISal,3,15240731,4826839.4570237575,3501420,1883840
p3,M730,VISam,4,19501794,6506305.400402287,4365920,3264740
p3,M730,VISl,3,13913411,4562743.218936557,4878320,2648780
p3,M730,VISli,1,3615708,1119922.0645602362,919240,435820
p3,M730,VISp,26,568141194,177343321.6664542,194102179,82920016
p3,M730,VISpm,14,64073686,20755191.28896021,17278600,11131480
p3,M730,VISrl,2,8529851,2794627.3986658202,3066820,1788480
p6,M733,RSPagl,41,385440972,126611002.16155387,60587103,27597000
p6,M733,RSPd,41,669617789,223410370.71620715,101319541,48410021
p6,M733,RSPv,37,809690317,263535889.3509888,104093460,59091240
p6,M733,VISa,11,144276666,47789253.51726676,19963840,11114100
p6,M733,VISal,9,84008362,27414176.883452702,16003300,7860300
p6,M733,VISam,7,72932559,24476744.587253023,11110160,6158260
p6,M733,VISl,17,157624607,50831011.95214986,29730272,14841177
p6,M733,VISli,17,72162395,22472550.87783854,17736017,7200038
p6,M733,VISp,29,972545256,317594432.5274266,161052174,79761339
p6,M733,VISpl,2,9902896,3649401.7198809907,2063980,619500
p6,M733,VISpm,23,179263525,59351784.65829787,23736860,16397720
p6,M733,VISpor,7,106445478,34519466.155186266,10351741,5724441
p6,M733,VISrl,13,128843929,41388303.97538646,22942120,11338080
p6,M734,RSPagl,43,296279305,96154451.04452822,64921700,30112900
p6,M734,RSPd,44,566947297,188504153.90638208,128099520,56423720
p6,M734,RSPv,41,645519817,208387330.59622332,146143460,75129900
p6,M734,VISa,15,166889634,55572703.21031907,98623480,18367480
p6,M734,VISal,7,74075970,24712607.028115988,17765860,9362300
p6,M734,VISam,11,113409294,37313099.772601366,13643480,8694260
p6,M734,VISl,10,69051271,22572423.342219587,18298120,7653780
p6,M734,VISli,9,37383692,11503184.740168346,11463000,4434260
p6,M734,VISp,26,1941054710,598675208.7862967,266863747,104990942
p6,M734,VISpl,1,28921,13413.003585249038,6000,2800
p6,M734,VISpm,23,162117051,54361756.27206444,27916740,18440800
p6,M734,VISpor,9,46889732,15873557.725868706,9186291,4484000
p6,M734,VISrl,9,45125539,14837167.627729343,11688960,5011080
