age,identifier,region,image_filename,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,VISpm,M608_s040_VISpm.tif,3137172,997390.9910958799,1332800,1006000
adult,M608,VISpm,M608_s041_VISpm.tif,3236804,1076132.4226356922,1305600,940000
adult,M608,VISpm,M608_s042_VISpm.tif,4103021,1345431.5102018025,1332480,990400
adult,M608,VISpm,M608_s043_VISpm.tif,3449386,1162801.9586614894,1394940,898480
adult,M608,VISpm,M608_s044_VISpm.tif,2814515,977943.1450427161,1289600,876800
adult,M608,VISpm,M608_s045_VISpm.tif,5985767,1955858.5574057326,1215200,783200
adult,M608,VISpm,M608_s046_VISpm.tif,3260807,1140318.8535699905,1296820,692840
adult,M608,VISpm,M608_s047_VISpm.tif,1325846,451613.7028500284,1125600,654800
adult,M608,VISpm,M608_s048_VISpm.tif,1870757,632989.1561215331,1066000,590000
adult,M608,VISpm,M608_s049_VISpm.tif,1890860,632164.4286595802,686000,372000
adult,M608,VISpm,M608_s050_VISpm.tif,1922483,636986.663110027,686400,407200
adult,M608,VISpm,M608_s051_VISpm.tif,1719175,568021.5650934059,963200,569600
adult,M608,VISpm,M608_s052_VISpm.tif,2274785,755664.591941763,370000,221200
adult,M608,VISpm,M608_s053_VISpm.tif,5240914,1873380.0465178348,470400,256800
adult,M608,VISpm,M608_s054_VISpm.tif,3765674,1257893.3094685192,319200,187200
adult,M608,VISpm,M608_s055_VISpm.tif,784707,260462.5381491513,377200,222000
adult,M608,VISpm,M608_s056_VISpm.tif,4506292,1590196.9638071477,459200,258000
adult,M608,VISpm,M608_s057_VISpm.tif,4107764,1364164.8601898516,269440,150120
adult,M608,VISpm,M608_s058_VISpm.tif,6726403,2367769.124784572,224000,135200
adult,M608,VISpm,M608_s059_VISpm.tif,14250263,4949183.917508757,367200,176000
adult,M608,VISpm,M608_s060_VISpm.tif,4625083,1571225.2645043095,328000,188400
adult,M608,VISpm,M608_s061_VISpm.tif,3472974,1177072.791439126,197200,109200
adult,M608,VISpm,M608_s062_VISpm.tif,12736507,4336415.0740818065,384000,188400
adult,M608,VISpm,M608_s063_VISpm.tif,2247093,732334.3970584313,368000,220800
adult,M608,VISpm,M608_s064_VISpm.tif,2282616,833427.5774732355,57600,28000
adult,M608,VISpm,M608_s065_VISpm.tif,725731,296913.40417190315,42000,23200
adult,M608,VISpm,M608_s066_VISpm.tif,707739,257350.7197908668,56000,34800
adult,M608,VISpm,M608_s067_VISpm.tif,486777,197314.62069646933,76480,22700
adult,M608,VISpm,M608_s068_VISpm.tif,585315,237721.11583523336,33600,19600
adult,M608,VISpm,M608_s069_VISpm.tif,76231,28372.791479233634,1200,1200
adult,M608,VISpor,M608_s049_VISpor.tif,173673,63024.75328936874,212800,76000
adult,M608,VISpor,M608_s050_VISpor.tif,754031,265005.79256176396,719200,330800
adult,M608,VISpor,M608_s051_VISpor.tif,2789371,976158.0921496345,1992800,937200
adult,M608,VISpor,M608_s052_VISpor.tif,9912550,3441221.2258047257,3120000,1439200
adult,M608,VISpor,M608_s053_VISpor.tif,15434746,5391630.612195672,2642200,1284660
adult,M608,VISpor,M608_s054_VISpor.tif,19080662,6510396.611921537,3973920,1808460
adult,M608,VISpor,M608_s055_VISpor.tif,3301006,1112196.099775799,3732120,1650820
adult,M608,VISpor,M608_s056_VISpor.tif,25181667,8653527.728227323,4253620,2036540
adult,M608,VISpor,M608_s057_VISpor.tif,19892244,6745398.539779628,3942400,1828800
adult,M608,VISpor,M608_s058_VISpor.tif,260830908,87574226.79444557,6363000,2986340
adult,M608,VISpor,M608_s059_VISpor.tif,183840468,63051164.40554246,6198560,2775880
adult,M608,VISpor,M608_s060_VISpor.tif,46374793,15410791.620446572,4350000,2140000
adult,M608,VISpor,M608_s061_VISpor.tif,70567611,23427098.588549536,5684280,2805960
adult,M608,VISpor,M608_s062_VISpor.tif,73258456,24346987.812419634,3791020,2416160
adult,M608,VISpor,M608_s063_VISpor.tif,10676849,3695333.4743645596,3302400,1512800
adult,M608,VISpor,M608_s064_VISpor.tif,150495576,48376891.95348195,4982120,2925480
adult,M608,VISpor,M608_s065_VISpor.tif,77824582,24383157.94552951,5792360,2514260
adult,M608,VISpor,M608_s066_VISpor.tif,40460663,12364335.185436988,4018920,2459640
adult,M608,VISpor,M608_s067_VISpor.tif,37598467,12245717.402287746,2339160,1634900
adult,M608,VISpor,M608_s068_VISpor.tif,91011930,27894993.13482692,4942280,2990380
adult,M608,VISpor,M608_s069_VISpor.tif,140625166,45543101.17510956,3773580,2539600
adult,M608,VISpor,M608_s070_VISpor.tif,82122908,26201818.4559416,3975092,2326961
adult,M608,VISpor,M608_s071_VISpor.tif,28347470,9267477.888467204,2690100,1440220
adult,M608,VISpor,M608_s072_VISpor.tif,81001185,26130218.253891815,1634040,818500
