age,identifier,region,image_filename,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M678,RSPagl,M678_s060_RSPagl.tif,16730616,358898.0775428216,1545600,1147600
p12,M678,RSPagl,M678_s061_RSPagl.tif,23056438,383837.12176540436,1354580,1098460
p12,M678,RSPagl,M678_s062_RSPagl.tif,30703875,575782.8683377141,1437540,1035200
p12,M678,RSPagl,M678_s063_RSPagl.tif,26233222,597520.4413107442,1444000,1091600
p12,M678,RSPagl,M678_s064_RSPagl.tif,24465635,584296.1033655669,1358000,1055600
p12,M678,RSPagl,M678_s065_RSPagl.tif,27783335,508748.41721117304,1292000,1004000
p12,M678,RSPagl,M678_s066_RSPagl.tif,28648003,564823.713326768,1260000,975600
p12,M678,RSPagl,M678_s068_RSPagl.tif,40108055,680519.1398278971,1579200,1031200
p12,M678,RSPagl,M678_s069_RSPagl.tif,54115291,1165436.3239119125,1636800,1124000
p12,M678,RSPagl,M678_s070_RSPagl.tif,31447912,966336.9982734969,1584000,1124400
p12,M678,RSPagl,M678_s071_RSPagl.tif,41706930,679572.9479846463,1276800,885200
p12,M678,RSPagl,M678_s072_RSPagl.tif,45966149,1070087.1382356358,1674000,1058400
p12,M678,RSPagl,M678_s074_RSPagl.tif,41447855,865340.2888879981,2059200,1055600
p12,M678,RSPagl,M678_s075_RSPagl.tif,18889544,446434.1228534204,1978800,960400
p12,M678,RSPagl,M678_s076_RSPagl.tif,36510734,725825.7491749887,2111200,932400
p12,M678,RSPagl,M678_s077_RSPagl.tif,53691063,1122852.3514529674,1801360,923840
p12,M678,RSPagl,M678_s078_RSPagl.tif,17709929,378658.4230937359,1711500,822640
p12,M678,RSPagl,M678_s079_RSPagl.tif,20609341,841864.3851978357,2146420,941960
p12,M678,RSPagl,M678_s080_RSPagl.tif,19623452,639952.8679271957,1958000,790400
p12,M678,RSPagl,M678_s082_RSPagl.tif,20463290,1046995.5602021302,2173380,1060860
p12,M678,RSPagl,M678_s083_RSPagl.tif,65296863,1685884.3962890026,4395600,1246000
p12,M678,RSPagl,M678_s084_RSPagl.tif,29920764,969651.1512798152,3868040,964480
p12,M678,RSPagl,M678_s085_RSPagl.tif,13106958,350977.8414841623,4326960,877240
p12,M678,RSPagl,M678_s086_RSPagl.tif,52603854,1119536.4884388873,2029600,790800
p12,M678,RSPd,M678_s057_RSPd.tif,56179864,917111.5945981571,3168000,1975600
p12,M678,RSPd,M678_s058_RSPd.tif,61633984,1385096.0116920487,2890140,1728780
p12,M678,RSPd,M678_s059_RSPd.tif,102886577,2188649.654146816,3461040,2225780
p12,M678,RSPd,M678_s060_RSPd.tif,51462259,1577263.1459552504,3532620,2237720
p12,M678,RSPd,M678_s061_RSPd.tif,48719894,846345.1960447264,3230000,2010800
p12,M678,RSPd,M678_s062_RSPd.tif,97233672,2168578.0513345134,3093040,1937300
p12,M678,RSPd,M678_s063_RSPd.tif,54364231,1250237.290749142,3134580,1937980
p12,M678,RSPd,M678_s064_RSPd.tif,59573605,1450343.1836703226,3314220,2002120
p12,M678,RSPd,M678_s065_RSPd.tif,91508337,1588764.5087965492,3169760,1908060
p12,M678,RSPd,M678_s066_RSPd.tif,53462024,1287898.4760396152,3092880,1884240
p12,M678,RSPd,M678_s068_RSPd.tif,91426117,1783359.8299589742,3163700,1812100
p12,M678,RSPd,M678_s069_RSPd.tif,123958434,2919786.0771592264,3640000,2056800
p12,M678,RSPd,M678_s070_RSPd.tif,54622026,1573405.6363857873,3655740,2056900
p12,M678,RSPd,M678_s071_RSPd.tif,103883610,2185659.4699629564,3205780,1798200
p12,M678,RSPd,M678_s072_RSPd.tif,97913450,2491456.8098901007,3765540,1908400
p12,M678,RSPd,M678_s074_RSPd.tif,80049305,1459802.828776332,3959640,1926220
p12,M678,RSPd,M678_s075_RSPd.tif,51226347,1157822.8086300562,3959640,1873600
p12,M678,RSPd,M678_s076_RSPd.tif,83128525,1919688.8220459009,3877900,1845540
p12,M678,RSPd,M678_s077_RSPd.tif,108605280,2017838.524873689,3755340,1785980
p12,M678,RSPd,M678_s078_RSPd.tif,34268951,1109855.5269558711,2991080,1413880
p12,M678,RSPd,M678_s079_RSPd.tif,35118388,1339975.960664062,3821719,1487480
p12,M678,RSPd,M678_s080_RSPd.tif,29750539,945792.9432615935,3414400,1155200
p12,M678,RSPd,M678_s082_RSPd.tif,37581497,1245967.8709335758,4082420,1658800
p12,M678,RSPd,M678_s083_RSPd.tif,125463256,3176849.6951222634,6591120,2047480
p12,M678,RSPd,M678_s084_RSPd.tif,77172020,2222784.77656145,7614920,2109580
p12,M678,RSPd,M678_s085_RSPd.tif,28738987,940928.5834052184,6508080,1663760
p12,M678,RSPd,M678_s086_RSPd.tif,78302281,1444986.0377786616,3579320,1144880
p12,M678,RSPv,M678_s057_RSPv.tif,95908400,2272255.432111655,4513600,2852800
p12,M678,RSPv,M678_s058_RSPv.tif,93965913,2183178.215762307,3389520,2245160
p12,M678,RSPv,M678_s059_RSPv.tif,102570829,3880320.8327887147,4152260,2570240
p12,M678,RSPv,M678_s060_RSPv.tif,76456170,3066777.4719047532,4605940,2803920
p12,M678,RSPv,M678_s061_RSPv.tif,75616850,2711211.2282208637,4401600,2863600
p12,M678,RSPv,M678_s062_RSPv.tif,107823442,3038318.042280447,4237080,2785540
p12,M678,RSPv,M678_s063_RSPv.tif,58217603,2079856.766651717,3465420,2210240
p12,M678,RSPv,M678_s064_RSPv.tif,70664656,2343828.633939134,3640800,2370400
p12,M678,RSPv,M678_s065_RSPv.tif,89359932,2227994.725716399,4051179,2591379
p12,M678,RSPv,M678_s066_RSPv.tif,71513249,2637114.9913836345,4302500,2675300
p12,M678,RSPv,M678_s068_RSPv.tif,112519358,2831311.794065448,5547080,3505720
p12,M678,RSPv,M678_s069_RSPv.tif,158272230,5004917.617694506,6410880,4201780
p12,M678,RSPv,M678_s070_RSPv.tif,98425937,2916104.9085300677,7726859,5141059
p12,M678,RSPv,M678_s071_RSPv.tif,146324355,3321580.84428083,7364659,5179939
p12,M678,RSPv,M678_s072_RSPv.tif,170729809,4500839.183553619,8199319,5099619
p12,M678,RSPv,M678_s074_RSPv.tif,106769613,2317380.447145942,9659958,5467080
p12,M678,RSPv,M678_s075_RSPv.tif,94068908,2129467.1342602246,9306479,5319400
p12,M678,RSPv,M678_s076_RSPv.tif,134151476,3024676.2841258505,8673259,4780139
p12,M678,RSPv,M678_s077_RSPv.tif,121837133,3195570.0229558786,6980281,4172301
p12,M678,RSPv,M678_s078_RSPv.tif,52635302,1389224.374663513,5522000,3052860
p12,M678,RSPv,M678_s079_RSPv.tif,53349447,1382599.2208155429,6485339,3175839
p12,M678,RSPv,M678_s080_RSPv.tif,47916904,1209384.2154516873,5000840,2298840
p12,M678,RSPv,M678_s082_RSPv.tif,27040945,794153.1421111217,7283439,2286080
p12,M678,RSPv,M678_s083_RSPv.tif,47043524,1484208.869306557,4310820,1881060
p12,M678,RSPv,M678_s084_RSPv.tif,79031888,2552764.8250177535,6639880,2643860
p12,M678,RSPv,M678_s085_RSPv.tif,15814337,400213.6159662341,4966040,1070520
p12,M678,RSPv,M678_s086_RSPv.tif,93168846,2052884.8780226293,5217320,2190140
p12,M678,VISa,M678_s057_VISa.tif,36999288,644057.2274727611,2784000,2017200
p12,M678,VISa,M678_s058_VISa.tif,105772212,2112930.5306074717,4738360,3148780
p12,M678,VISa,M678_s059_VISa.tif,62252119,1030682.481137317,4381440,2911080
p12,M678,VISa,M678_s060_VISa.tif,33151795,693153.1826926024,3457800,2214820
p12,M678,VISa,M678_s061_VISa.tif,74566784,1617612.7772613,4955520,3446460
p12,M678,VISa,M678_s065_VISa.tif,605764,10086.504348265336,108000,36000
p12,M678,VISa,M678_s066_VISa.tif,223158,4168.138826826172,16000,9600
p12,M678,VISal,M678_s067_VISal.tif,134594,2091.9869857740373,24000,3200
p12,M678,VISal,M678_s068_VISal.tif,34859608,662359.3951430442,2605860,1064400
p12,M678,VISal,M678_s069_VISal.tif,67019231,1596547.583001538,2997120,1443480
p12,M678,VISal,M678_s070_VISal.tif,43302925,1129725.1118749098,3073920,1565220
p12,M678,VISal,M678_s071_VISal.tif,69217908,1384083.4444527952,3967200,2099200
p12,M678,VISal,M678_s072_VISal.tif,60963783,1335978.0166833312,3598620,1809320
p12,M678,VISal,M678_s074_VISal.tif,54291097,1309579.9794227842,3482660,1593980
p12,M678,VISal,M678_s075_VISal.tif,14036277,290633.00647128123,2206800,812800
p12,M678,VISal,M678_s076_VISal.tif,28724604,595261.9397830794,1022400,523200
p12,M678,VISam,M678_s057_VISam.tif,4220778,73631.63487058235,411600,203600
p12,M678,VISam,M678_s058_VISam.tif,8196101,183942.20871324732,458640,227820
p12,M678,VISam,M678_s059_VISam.tif,16799431,252650.64983070685,1033600,458800
p12,M678,VISam,M678_s060_VISam.tif,10811213,213997.10141819838,1429700,652060
p12,M678,VISam,M678_s061_VISam.tif,17042572,391535.662438987,1368000,819600
p12,M678,VISam,M678_s062_VISam.tif,50601181,1043416.721398536,3565980,2484660
p12,M678,VISam,M678_s063_VISam.tif,55860333,1343381.0846601354,3201060,2252880
