age,identifier,region,image_count,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
p20,M649,RSPagl,34,2587286452,58774726.62776206,46618780,30743380
p20,M649,RSPd,34,5034112850,116889439.44788432,101770020,57528620
p20,M649,RSPv,34,6039133758,159781990.7275794,128190436,77124938
p20,M649,VISa,12,2659970763,55890205.606233984,50761339,29609740
p20,M649,VISal,14,1266339040,28869067.02437993,33418260,16116779
p20,M649,VISam,20,1255136033,27679791.96039133,26345540,15061280
p20,M649,VISl,2,135706843,2612926.779504912,6142420,2202960
p20,M649,VISli,2,128351518,3342881.4652736005,5755679,2827440
p20,M649,VISp,17,6956479222,161571580.03942618,146606440,88058200
p20,M649,VISpm,12,896210671,20402676.075948466,18948540,11266520
p20,M649,VISrl,22,1024644522,21709334.086167317,36595279,11152640
p20,M712,RSPagl,38,667802542,17919039.037330862,57390980,32723040
p20,M712,RSPd,38,1342087483,29865790.35230779,111055440,56931700
p20,M712,RSPv,38,1546137486,37248762.56627006,149484117,84338399
p20,M712,VISa,12,200969591,3883580.567461916,21092840,11287080
p20,M712,VISal,11,155049879,5448967.984004398,24494160,11505820
p20,M712,VISam,14,237936599,5372903.23149341,29220460,18567040
p20,M712,VISl,8,176162242,2876859.3906737594,21785820,10399300
p20,M712,VISli,7,78473459,1829767.7308171033,10981720,4825100
p20,M712,VISp,23,1629561381,44345149.46911938,209503579,111022039
p20,M712,VISpm,19,105830240,2479966.4375037258,18365340,7647520
p20,M712,VISpor,3,70321966,1970838.7501446533,9837540,4702840
p20,M712,VISrl,15,225570850,6923124.8177869,39306277,17586558
p3,M729,RSPagl,32,1165301490,29848527.558979977,61763219,22999032
p3,M729,RSPd,32,2140669785,49905590.782760635,84949614,41103454
p3,M729,RSPv,26,1671901468,42052091.42464012,70589050,39718151
p3,M729,VISa,8,831433945,19254111.24108591,26740050,15251940
p3,M729,VISal,9,241947754,7689072.296268178,14024120,7073160
p3,M729,VISam,9,240477076,6802472.6132472465,12222810,6922990
p3,M729,VISl,15,517725879,16047437.631355558,22779543,11186761
p3,M729,VISli,13,182466563,5616857.152331648,11008780,4714180
p3,M729,VISp,23,3536000483,94504669.7307056,151472041,75867429
p3,M729,VISpl,3,91826650,1946654.2546512708,3007259,1038640
p3,M729,VISpm,20,552737806,14569020.851869635,22264240,13977400
p3,M729,VISpor,10,317229014,8423004.365281962,14337287,6431368
p3,M729,VISrl,13,346764891,11193635.120380567,19382810,9077870
p3,M730,RSPagl,35,1468014927,32498455.913444966,40710561,18534600
p3,M730,RSPd,35,2800678563,61053315.23732708,85304501,35905741
p3,M730,RSPv,34,3471386659,81307754.34227589,108958120,54070180
p3,M730,VISa,8,664181682,15609362.442929355,14863420,8182720
p3,M730,VISal,10,406479635,9516653.882600676,10822980,5242900
p3,M730,VISam,7,271385980,5573400.190339297,5064240,3635480
p3,M730,VISl,15,786294562,21077293.520331137,22593099,11827219
p3,M730,VISli,14,380100659,10078135.892747082,11768577,5668119
p3,M730,VISp,26,6044933494,137198835.13195983,194116462,82926698
p3,M730,VISpm,20,869257224,17001476.11827817,18451020,11620280
p3,M730,VISpor,4,92812496,2412375.3870469504,2665840,1520260
p3,M730,VISrl,11,196557893,4387732.280594268,9624240,3039940
p60,M762,RSPagl,42,790644306,14490485.90718708,96783000,40472680
p60,M762,RSPd,43,1534982513,26668370.519731157,159040060,71565520
p60,M762,RSPv,37,1702668767,27200664.73496752,158906840,78988840
