age,identifier,region,image_filename,raw_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M678,RSPd,M678_s074_RSPd.tif,80049305,3959640,1926220
p12,M678,RSPd,M678_s075_RSPd.tif,51226347,3959640,1873600
p12,M678,RSPd,M678_s076_RSPd.tif,83128525,3877900,1845540
p12,M678,RSPd,M678_s077_RSPd.tif,108605280,3755340,1785980
p12,M678,RSPd,M678_s078_RSPd.tif,34268951,2991080,1413880
p12,M678,RSPd,M678_s079_RSPd.tif,35118388,3821719,1487480
p12,M678,RSPd,M678_s080_RSPd.tif,29750539,3414400,1155200
p12,M678,RSPd,M678_s082_RSPd.tif,37581497,4082420,1658800
p12,M678,RSPd,M678_s083_RSPd.tif,125463256,6591120,2047480
p12,M678,RSPd,M678_s084_RSPd.tif,77172020,7614920,2109580
p12,M678,RSPd,M678_s085_RSPd.tif,28738987,6508080,1663760
p12,M678,RSPd,M678_s086_RSPd.tif,78302281,3579320,1144880
p12,M678,RSPv,M678_s057_RSPv.tif,95908400,4513600,2852800
p12,M678,RSPv,M678_s058_RSPv.tif,93965913,3389520,2245160
p12,M678,RSPv,M678_s059_RSPv.tif,102570829,4152260,2570240
p12,M678,RSPv,M678_s060_RSPv.tif,76456170,4605940,2803920
p12,M678,RSPv,M678_s061_RSPv.tif,75616850,4401600,2863600
p12,M678,RSPv,M678_s062_RSPv.tif,107823442,4237080,2785540
p12,M678,RSPv,M678_s063_RSPv.tif,58217603,3465420,2210240
p12,M678,RSPv,M678_s064_RSPv.tif,70664656,3640800,2370400
p12,M678,RSPv,M678_s065_RSPv.tif,89359932,4051179,2591379
p12,M678,RSPv,M678_s066_RSPv.tif,71513249,4302500,2675300
p12,M678,RSPv,M678_s068_RSPv.tif,112519358,5547080,3505720
p12,M678,RSPv,M678_s069_RSPv.tif,158272230,6410880,4201780
p12,M678,RSPv,M678_s070_RSPv.tif,98425937,7726859,5141059
p12,M678,RSPv,M678_s071_RSPv.tif,146324355,7364659,5179939
p12,M678,RSPv,M678_s072_RSPv.tif,170729809,8199319,5099619
p12,M678,RSPv,M678_s074_RSPv.tif,106769613,9659958,5467080
p12,M678,RSPv,M678_s075_RSPv.tif,94068908,9306479,5319400
p12,M678,RSPv,M678_s076_RSPv.tif,134151476,8673259,4780139
p12,M678,RSPv,M678_s077_RSPv.tif,121837133,6980281,4172301
p12,M678,RSPv,M678_s078_RSPv.tif,52635302,5522000,3052860
p12,M678,RSPv,M678_s079_RSPv.tif,53349447,6485339,3175839
p12,M678,RSPv,M678_s080_RSPv.tif,47916904,5000840,2298840
p12,M678,RSPv,M678_s082_RSPv.tif,27040945,7283439,2286080
p12,M678,RSPv,M678_s083_RSPv.tif,47043524,4310820,1881060
p12,M678,RSPv,M678_s084_RSPv.tif,79031888,6639880,2643860
p12,M678,RSPv,M678_s085_RSPv.tif,15814337,4966040,1070520
p12,M678,RSPv,M678_s086_RSPv.tif,93168846,5217320,2190140
p12,M678,VISa,M678_s057_VISa.tif,36999288,2784000,2017200
p12,M678,VISa,M678_s058_VISa.tif,105772212,4738360,3148780
p12,M678,VISa,M678_s059_VISa.tif,62252119,4381440,2911080
p12,M678,VISa,M678_s060_VISa.tif,33151795,3457800,2214820
p12,M678,VISa,M678_s061_VISa.tif,74566784,4955520,3446460
p12,M678,VISa,M678_s065_VISa.tif,605764,108000,36000
p12,M678,VISa,M678_s066_VISa.tif,223158,16000,9600
p12,M678,VISal,M678_s067_VISal.tif,134594,24000,3200
p12,M678,VISal,M678_s068_VISal.tif,34859608,2605860,1064400
p12,M678,VISal,M678_s069_VISal.tif,67019231,2997120,1443480
p12,M678,VISal,M678_s070_VISal.tif,43302925,3073920,1565220
p12,M678,VISal,M678_s071_VISal.tif,69217908,3967200,2099200
p12,M678,VISal,M678_s072_VISal.tif,60963783,3598620,1809320
p12,M678,VISal,M678_s074_VISal.tif,54291097,3482660,1593980
p12,M678,VISal,M678_s075_VISal.tif,14036277,2206800,812800
p12,M678,VISal,M678_s076_VISal.tif,28724604,1022400,523200
p12,M678,VISam,M678_s057_VISam.tif,4220778,411600,203600
p12,M678,VISam,M678_s058_VISam.tif,8196101,458640,227820
p12,M678,VISam,M678_s059_VISam.tif,16799431,1033600,458800
p12,M678,VISam,M678_s060_VISam.tif,10811213,1429700,652060
p12,M678,VISam,M678_s061_VISam.tif,17042572,1368000,819600
p12,M678,VISam,M678_s062_VISam.tif,50601181,3565980,2484660
p12,M678,VISam,M678_s063_VISam.tif,55860333,3201060,2252880
p12,M678,VISam,M678_s064_VISam.tif,37775154,2546000,1836400
p12,M678,VISam,M678_s065_VISam.tif,53090119,3455140,2720020
p12,M678,VISam,M678_s066_VISam.tif,71229367,3410400,2599600
p12,M678,VISam,M678_s067_VISam.tif,53503188,2159340,1429620
p12,M678,VISam,M678_s068_VISam.tif,42637088,1634000,1312400
p12,M678,VISam,M678_s069_VISam.tif,37957860,1217900,860200
p12,M678,VISam,M678_s070_VISam.tif,5756992,374400,234800
p12,M678,VISl,M678_s075_VISl.tif,393384,115600,29200
p12,M678,VISl,M678_s076_VISl.tif,17583986,2158920,589780
p12,M678,VISl,M678_s077_VISl.tif,67612509,3883981,2011960
p12,M678,VISl,M678_s078_VISl.tif,13341586,1728000,390400
p12,M678,VISl,M678_s080_VISl.tif,4366166,1798800,197780
p12,M678,VISl,M678_s083_VISl.tif,21312854,1763200,559200
p12,M678,VISl,M678_s084_VISl.tif,27104697,3220082,1584921
