age,identifier,region,image_filename,raw_intensity_sum,masked_gauss_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,RSPv,M677_094_RSPv.tif,91037879,2118133.8149912534,6611760,3583120
p12,M677,RSPv,M677_095_RSPv.tif,44212695,941843.7403015911,4899600,2947440
p12,M677,RSPv,M677_096_RSPv.tif,42369927,901165.413956228,4651320,2738560
p12,M677,RSPv,M677_097_RSPv.tif,47926531,1086673.4819636394,4077980,1512520
p12,M677,RSPv,M677_098_RSPv.tif,31537210,661536.4106098308,4026520,1867740
p12,M677,RSPv,M677_099_RSPv.tif,79185468,3008294.0323050795,5738820,2183980
p12,M677,RSPv,M677_100_RSPv.tif,34975933,819072.5979273083,5437800,1815320
p12,M677,RSPv,M677_101_RSPv.tif,4495245,84989.61769407676,744620,298340
p12,M677,VISa,M677_070_VISa.tif,15775185,222109.94996288748,1227200,505600
p12,M677,VISa,M677_071_VISa.tif,63237545,1056560.205672494,2898000,1334400
p12,M677,VISa,M677_072_VISa.tif,86584866,2835111.686882406,4112400,2017600
p12,M677,VISa,M677_073_VISa.tif,126002032,2605792.1546951486,4030400,2334180
p12,M677,VISa,M677_074_VISa.tif,151398862,3785763.7941471376,3492720,2285400
p12,M677,VISa,M677_075_VISa.tif,72123971,1298201.9449485342,3336800,2044000
p12,M677,VISa,M677_076_VISa.tif,131111339,2626733.2999331583,3714360,2340440
p12,M677,VISa,M677_077_VISa.tif,345837851,7167143.044688201,4850400,2903600
p12,M677,VISa,M677_078_VISa.tif,88270221,2329733.3534846962,3806440,2246400
p12,M677,VISa,M677_079_VISa.tif,34099995,548630.2958955473,1188180,601100
p12,M677,VISa,M677_080_VISa.tif,18188097,329344.19489338686,2576680,927900
p12,M677,VISal,M677_084_VISal.tif,23093632,1280110.0233334235,878400,402400
p12,M677,VISal,M677_085_VISal.tif,42381266,1554117.7586264105,1579200,752400
p12,M677,VISal,M677_086_VISal.tif,60827157,1159370.8381229409,2089800,1052580
p12,M677,VISal,M677_087_VISal.tif,51919948,1109202.4967716087,2816000,1420800
p12,M677,VISal,M677_088_VISal.tif,73659640,1153476.7521166494,3017600,1538800
p12,M677,VISal,M677_089_VISal.tif,52462786,1178554.188572548,3453200,1799200
p12,M677,VISal,M677_090_VISal.tif,49461139,1215172.51529911,3918200,1950980
p12,M677,VISal,M677_091_VISal.tif,46685985,948696.804022752,3765440,1805740
p12,M677,VISal,M677_092_VISal.tif,39974607,1140617.6269752665,3326400,1915200
p12,M677,VISal,M677_093_VISal.tif,60535373,1978509.0583352696,3616659,2080480
p12,M677,VISam,M677_075_VISam.tif,10411194,303015.3674767761,560000,292400
p12,M677,VISam,M677_076_VISam.tif,41641822,1240909.45998398,1279760,651260
p12,M677,VISam,M677_077_VISam.tif,81192007,2650391.932205564,2006400,834400
p12,M677,VISam,M677_078_VISam.tif,27413084,516214.11152375577,1460480,846400
p12,M677,VISam,M677_079_VISam.tif,99442109,1529073.5780638496,2133060,1403860
p12,M677,VISam,M677_080_VISam.tif,30974412,595433.1137564625,2462400,1674000
p12,M677,VISam,M677_081_VISam.tif,43611463,1142992.8709675514,1652000,1199200
p12,M677,VISam,M677_082_VISam.tif,29733055,648265.7899722288,1057320,626820
p12,M677,VISam,M677_083_VISam.tif,37941126,727796.7542715372,1489200,1165600
p12,M677,VISam,M677_084_VISam.tif,45920681,974780.8151324874,1324800,1018000
p12,M677,VISam,M677_086_VISam.tif,70014515,1155164.8020629387,1334800,780000
p12,M677,VISam,M677_087_VISam.tif,14563304,238856.3967083337,569840,442280
p12,M677,VISl,M677_093_VISl.tif,8331601,128187.32648190403,867300,414680
p12,M677,VISl,M677_094_VISl.tif,67922811,1742514.2353239662,2875600,1427600
p12,M677,VISl,M677_095_VISl.tif,16832921,505676.8884696443,2494320,1215640
p12,M677,VISl,M677_096_VISl.tif,26501647,521687.604082548,2958560,1509120
p12,M677,VISl,M677_098_VISl.tif,1225985,169525.05719519773,621600,33600
p12,M677,VISl,M677_099_VISl.tif,29907,1107.3125067976343,1462800,1600
p12,M677,VISl,M677_100_VISl.tif,45762658,1263530.8050264367,3227520,1618000
p12,M677,VISl,M677_101_VISl.tif,28489971,808094.9242849479,2128000,949600
p12,M677,VISli,M677_094_VISli.tif,25789190,757230.262762766,1894400,701200
p12,M677,VISli,M677_095_VISli.tif,8537976,264410.04036356194,1665280,602760
p12,M677,VISli,M677_096_VISli.tif,10796232,219592.0639383122,1823740,668260
p12,M677,VISli,M677_097_VISli.tif,18583847,351590.1874047299,2249600,824400
p12,M677,VISli,M677_098_VISli.tif,34998503,685781.8801501115,2449200,978140
p12,M677,VISli,M677_099_VISli.tif,17355554,351336.6588649425,1876000,542400
p12,M677,VISli,M677_100_VISli.tif,24711266,633497.274304587,2721700,860340
p12,M677,VISli,M677_101_VISli.tif,23269932,682553.0810029542,1681200,749380
p12,M677,VISp,M677_082_VISp.tif,284994807,4019908.5565584386,7878480,4715460
p12,M677,VISp,M677_083_VISp.tif,171436346,5153436.856233236,6885441,4783860
p12,M677,VISp,M677_084_VISp.tif,384671272,8181792.880004628,7259840,4763180
p12,M677,VISp,M677_085_VISp.tif,365561543,12392600.241583664,8702742,6754131
p12,M677,VISp,M677_086_VISp.tif,662916904,21299496.99785902,8285940,5815460
p12,M677,VISp,M677_087_VISp.tif,162092542,3821177.4381271987,7344960,5089840
p12,M677,VISp,M677_088_VISp.tif,728248801,13576671.133734128,9324840,6090360
p12,M677,VISp,M677_089_VISp.tif,59747007,878635.2922177726,3494100,2073160
p12,M677,VISp,M677_090_VISp.tif,80271706,1386874.3230433133,5346640,3396080
p12,M677,VISp,M677_091_VISp.tif,128233087,2197122.30553131,8251320,5268660
p12,M677,VISp,M677_092_VISp.tif,105274821,2324337.269498969,8942920,5542760
p12,M677,VISp,M677_093_VISp.tif,149958373,4306676.462748427,7483840,4375360
p12,M677,VISp,M677_094_VISp.tif,327191022,6135430.520479998,8140520,4979000
p12,M677,VISp,M677_095_VISp.tif,44990420,1237144.9275619565,4773000,3286080
p12,M677,VISp,M677_096_VISp.tif,85342655,2921663.133681701,6974100,5021460
p12,M677,VISp,M677_097_VISp.tif,154878919,3651104.335740728,11061640,6506580
p12,M677,VISp,M677_098_VISp.tif,152781839,3802370.39287931,9414920,6358940
p12,M677,VISp,M677_099_VISp.tif,174363485,5570739.522481146,10322580,5655100
p12,M677,VISp,M677_100_VISp.tif,146914218,3213532.74649823,10844780,5968420
p12,M677,VISp,M677_101_VISp.tif,170725633,5478741.295229685,14415680,6959460
p12,M677,VISpm,M677_085_VISpm.tif,51743361,1695323.1517974364,1622400,1045600
p12,M677,VISpm,M677_087_VISpm.tif,6351498,141644.3371931698,408000,194400
p12,M677,VISpm,M677_088_VISpm.tif,909736,22664.348011733273,144400,101200
p12,M677,VISpm,M677_090_VISpm.tif,46758863,1106106.4112361013,2456800,2026400
p12,M677,VISpm,M677_091_VISpm.tif,26579007,692229.7354131178,1672800,1281600
p12,M677,VISpm,M677_092_VISpm.tif,15354103,539478.4727706312,1171940,824940
p12,M677,VISpm,M677_093_VISpm.tif,34947110,846851.0595228771,1795380,1063980
p12,M677,VISpm,M677_094_VISpm.tif,33937528,491706.23886440933,933660,681660
p12,M677,VISpm,M677_095_VISpm.tif,12247184,294149.25903640676,1156400,802800
p12,M677,VISpm,M677_096_VISpm.tif,13127562,389330.5457814296,1133980,822340
p12,M677,VISpm,M677_097_VISpm.tif,14671949,294645.84064912307,742000,370400
p12,M677,VISpm,M677_098_VISpm.tif,8684754,248868.93124368216,854000,465600
p12,M677,VISpm,M677_099_VISpm.tif,16203209,324802.58033888857,912000,495200
p12,M677,VISpm,M677_100_VISpm.tif,10746017,393202.8394096343,870400,512000
p12,M677,VISpm,M677_101_VISpm.tif,19093833,848151.5999609889,2216760,799700
p12,M677,VISpor,M677_100_VISpor.tif,4641215,73261.4983441171,761000,206580
p12,M677,VISpor,M677_101_VISpor.tif,17811877,271237.61141936865,1661660,786920
p12,M677,VISrl,M677_077_VISrl.tif,69266313,2508477.5119524314,2161500,585580
p12,M677,VISrl,M677_078_VISrl.tif,13995,155.51951411567478,400,400
p12,M677,VISrl,M677_080_VISrl.tif,20812475,363198.399381791,1971200,950000
p12,M677,VISrl,M677_081_VISrl.tif,28910424,538492.2370815242,1902120,728740
p12,M677,VISrl,M677_082_VISrl.tif,16924,248.52102889518218,400,400
p12,M677,VISrl,M677_083_VISrl.tif,39597652,1153997.7975127213,2157861,920481
p12,M677,VISrl,M677_084_VISrl.tif,120520858,4146086.356661395,3532740,1993180
p12,M677,VISrl,M677_085_VISrl.tif,48499362,1168925.8038719096,1836000,884800
p12,M677,VISrl,M677_086_VISrl.tif,35572947,683550.6161802069,1440000,504000
p12,M677,VISrl,M677_087_VISrl.tif,30782586,737608.8223971396,2020820,873060
p12,M677,VISrl,M677_088_VISrl.tif,74380045,1082371.3342368656,2031960,1059460
p12,M677,VISrl,M677_089_VISrl.tif,18864637,306990.6671961871,1516800,659200
p12,M677,VISrl,M677_090_VISrl.tif,11996440,219623.93722723814,1247920,395060
p12,M678,RSPagl,M678_s057_RSPagl.tif,20615580,356323.4293681806,1296000,1033600
p12,M678,RSPagl,M678_s058_RSPagl.tif,30713126,650278.0593398152,1182440,972000
p12,M678,RSPagl,M678_s059_RSPagl.tif,37529731,586048.4687801771,1489860,1142380
p12,M678,RSPagl,M678_s060_RSPagl.tif,16730616,389181.3542185497,1545600,1147600
p12,M678,RSPagl,M678_s061_RSPagl.tif,23056438,392434.4639453508,1354580,1098460
p12,M678,RSPagl,M678_s062_RSPagl.tif,30703875,625988.6365459402,1437540,1035200
p12,M678,RSPagl,M678_s063_RSPagl.tif,26233222,713199.6659837937,1444000,1091600
p12,M678,RSPagl,M678_s064_RSPagl.tif,24465635,674160.2436410979,1358000,1055600
p12,M678,RSPagl,M678_s065_RSPagl.tif,27783335,552196.59381067,1292000,1004000
p12,M678,RSPagl,M678_s066_RSPagl.tif,28648003,618450.9516449083,1260000,975600
p12,M678,RSPagl,M678_s068_RSPagl.tif,40108055,742226.9214922952,1579200,1031200
p12,M678,RSPagl,M678_s069_RSPagl.tif,54115291,1346750.2317412742,1636800,1124000
p12,M678,RSPagl,M678_s070_RSPagl.tif,31447912,1195296.9180069745,1584000,1124400
p12,M678,RSPagl,M678_s071_RSPagl.tif,41706930,798361.0111546961,1276800,885200
p12,M678,RSPagl,M678_s072_RSPagl.tif,45966149,1239930.210630311,1674000,1058400
p12,M678,RSPagl,M678_s074_RSPagl.tif,41447855,956181.0199788229,2059200,1055600
p12,M678,RSPagl,M678_s075_RSPagl.tif,18889544,504079.7353396826,1978800,960400
p12,M678,RSPagl,M678_s076_RSPagl.tif,36510734,767701.4226764078,2111200,932400
p12,M678,RSPagl,M678_s077_RSPagl.tif,53691063,1225176.828563727,1801360,923840
p12,M678,RSPagl,M678_s078_RSPagl.tif,17709929,416942.1770297199,1711500,822640
p12,M678,RSPagl,M678_s079_RSPagl.tif,20609341,981455.6288450789,2146420,941960
p12,M678,RSPagl,M678_s080_RSPagl.tif,19623452,681970.3083997819,1958000,790400
p12,M678,RSPagl,M678_s082_RSPagl.tif,20463290,1138064.918942537,2173380,1060860
p12,M678,RSPagl,M678_s083_RSPagl.tif,65296863,2000363.428590061,4395600,1246000
p12,M678,RSPagl,M678_s084_RSPagl.tif,29920764,1335358.8914886357,3868040,964480
p12,M678,RSPagl,M678_s085_RSPagl.tif,13106958,396389.34272717085,4326960,877240
p12,M678,RSPagl,M678_s086_RSPagl.tif,52603854,1385217.8678995627,2029600,790800
p12,M678,RSPd,M678_s057_RSPd.tif,56179864,1067579.9793354878,3168000,1975600
