age,identifier,region,image_filename,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,VISp,M677_095_VISp.tif,44990420,13735113.905695992,4773000,3286080
p12,M677,VISp,M677_096_VISp.tif,85342655,25938707.891146794,6974100,5021460
p12,M677,VISp,M677_097_VISp.tif,154878919,48031653.07393007,11061640,6506580
p12,M677,VISp,M677_098_VISp.tif,152781839,48155591.555840574,9414920,6358940
p12,M677,VISp,M677_099_VISp.tif,174363485,53867512.30645146,10322580,5655100
p12,M677,VISp,M677_100_VISp.tif,146914218,43817019.39874692,10844780,5968420
p12,M677,VISp,M677_101_VISp.tif,170725633,53262907.842324145,14415680,6959460
p12,M677,VISpm,M677_085_VISpm.tif,51743361,16524059.615738422,1622400,1045600
p12,M677,VISpm,M677_087_VISpm.tif,6351498,2101837.915248831,408000,194400
p12,M677,VISpm,M677_088_VISpm.tif,909736,319032.88007038983,144400,101200
p12,M677,VISpm,M677_090_VISpm.tif,46758863,15729110.249583624,2456800,2026400
p12,M677,VISpm,M677_091_VISpm.tif,26579007,8298423.500500238,1672800,1281600
p12,M677,VISpm,M677_092_VISpm.tif,15354103,5021506.17534645,1171940,824940
p12,M677,VISpm,M677_093_VISpm.tif,34947110,12055776.47366817,1795380,1063980
p12,M677,VISpm,M677_094_VISpm.tif,33937528,11096097.660356596,933660,681660
p12,M677,VISpm,M677_095_VISpm.tif,12247184,4012808.5301014455,1156400,802800
p12,M677,VISpm,M677_096_VISpm.tif,13127562,4253770.630494844,1133980,822340
p12,M677,VISpm,M677_097_VISpm.tif,14671949,4998771.810927964,742000,370400
p12,M677,VISpm,M677_098_VISpm.tif,8684754,2914950.1089843595,854000,465600
p12,M677,VISpm,M677_099_VISpm.tif,16203209,5595688.292711899,912000,495200
p12,M677,VISpm,M677_100_VISpm.tif,10746017,3598950.059433222,870400,512000
p12,M677,VISpm,M677_101_VISpm.tif,19093833,6572473.497319308,2216760,799700
p12,M677,VISpor,M677_100_VISpor.tif,4641215,1653216.831372985,761000,206580
p12,M677,VISpor,M677_101_VISpor.tif,17811877,6181858.2768564895,1661660,786920
p12,M677,VISrl,M677_077_VISrl.tif,69266313,23046426.323811594,2161500,585580
p12,M677,VISrl,M677_078_VISrl.tif,13995,6229.136660879431,400,400
p12,M677,VISrl,M677_080_VISrl.tif,20812475,6757571.116197648,1971200,950000
p12,M677,VISrl,M677_081_VISrl.tif,28910424,9322423.526773995,1902120,728740
p12,M677,VISrl,M677_082_VISrl.tif,16924,7544.138372322594,400,400
p12,M677,VISrl,M677_083_VISrl.tif,39597652,12573370.395889755,2157861,920481
p12,M677,VISrl,M677_084_VISrl.tif,120520858,40808498.17792398,3532740,1993180
p12,M677,VISrl,M677_085_VISrl.tif,48499362,15246792.947273193,1836000,884800
p12,M677,VISrl,M677_086_VISrl.tif,35572947,11969046.406774012,1440000,504000
p12,M677,VISrl,M677_087_VISrl.tif,30782586,9792914.500577757,2020820,873060
p12,M677,VISrl,M677_088_VISrl.tif,74380045,24060799.49933215,2031960,1059460
p12,M677,VISrl,M677_089_VISrl.tif,18864637,5953768.685522053,1516800,659200
p12,M677,VISrl,M677_090_VISrl.tif,11996440,3970453.5823874883,1247920,395060
p12,M678,RSPagl,M678_s057_RSPagl.tif,20615580,6317021.29605432,1296000,1033600
p12,M678,RSPagl,M678_s058_RSPagl.tif,30713126,9164354.724236792,1182440,972000
p12,M678,RSPagl,M678_s059_RSPagl.tif,37529731,11857681.303287992,1489860,1142380
p12,M678,RSPagl,M678_s060_RSPagl.tif,16730616,5241529.504652555,1545600,1147600
p12,M678,RSPagl,M678_s061_RSPagl.tif,23056438,7191695.40619932,1354580,1098460
p12,M678,RSPagl,M678_s062_RSPagl.tif,30703875,9737294.951325104,1437540,1035200
p12,M678,RSPagl,M678_s063_RSPagl.tif,26233222,8433832.929579156,1444000,1091600
p12,M678,RSPagl,M678_s064_RSPagl.tif,24465635,8017527.730461118,1358000,1055600
p12,M678,RSPagl,M678_s065_RSPagl.tif,27783335,8640409.082473194,1292000,1004000
p12,M678,RSPagl,M678_s066_RSPagl.tif,28648003,8918585.19640927,1260000,975600
p12,M678,RSPagl,M678_s068_RSPagl.tif,40108055,12769560.460625969,1579200,1031200
