age,identifier,region,image_count,raw_intensity_sum,masked_median_intensity_sum,total_image_pixels,tissue_area_pixels
p20,M648,VISp,7,1433958484,24571289.0,69611460,40349240
p20,M648,VISpm,5,105924479,2609330.0,9242820,4797600
p20,M648,VISrl,18,525334714,10633033.0,38880598,15338420
p20,M649,RSPagl,34,2587286452,49443242.0,46618780,30743380
p20,M649,RSPd,34,5034112850,100583682.0,101770020,57528620
p20,M649,RSPv,34,6039133758,137497910.0,128190436,77124938
p20,M649,VISa,12,2659970763,46926753.0,50761339,29609740
p20,M649,VISal,14,1266339040,25082743.0,33418260,16116779
p20,M649,VISam,20,1255136033,23000984.0,26345540,15061280
p20,M649,VISl,2,135706843,2312187.0,6142420,2202960
p20,M649,VISli,2,128351518,3100754.0,5755679,2827440
p20,M649,VISp,17,6956479222,136641141.0,146606440,88058200
p20,M649,VISpm,12,896210671,17192239.0,18948540,11266520
p20,M649,VISrl,22,1024644522,18568785.0,36595279,11152640
p20,M712,RSPagl,38,667802542,18855145.0,57390980,32723040
p20,M712,RSPd,38,1342087483,28921543.0,111055440,56931700
p20,M712,RSPv,38,1546137486,29565327.0,149484117,84338399
p20,M712,VISa,12,200969591,2926385.0,21092840,11287080
p20,M712,VISal,11,155049879,6353292.0,24494160,11505820
p20,M712,VISam,14,237936599,5091061.0,29220460,18567040
p20,M712,VISl,8,176162242,2663729.0,21785820,10399300
p20,M712,VISli,7,78473459,1871902.0,10981720,4825100
p20,M712,VISp,23,1629561381,45970459.0,209503579,111022039
p20,M712,VISpm,19,105830240,2240577.0,18365340,7647520
p20,M712,VISpor,3,70321966,2084270.0,9837540,4702840
p20,M712,VISrl,15,225570850,6969685.0,39306277,17586558
p3,M729,RSPagl,32,1165301490,24244704.0,61763219,22999032
p3,M729,RSPd,32,2140669785,43787013.0,84949614,41103454
p3,M729,RSPv,26,1671901468,38974437.0,70589050,39718151
p3,M729,VISa,8,831433945,17891486.0,26740050,15251940
p3,M729,VISal,9,241947754,7483270.0,14024120,7073160
p3,M729,VISam,9,240477076,5051022.0,12222810,6922990
p3,M729,VISl,15,517725879,14791687.0,22779543,11186761
p3,M729,VISli,13,182466563,4637465.0,11008780,4714180
p3,M729,VISp,23,3536000483,83489129.0,151472041,75867429
p3,M729,VISpl,3,91826650,2076755.0,3007259,1038640
p3,M729,VISpm,20,552737806,11551414.0,22264240,13977400
p3,M729,VISpor,10,317229014,7510764.0,14337287,6431368
p3,M729,VISrl,13,346764891,10035796.0,19382810,9077870
p3,M730,RSPagl,35,1468014927,27502211.0,40710561,18534600
p3,M730,RSPd,35,2800678563,53943821.0,85304501,35905741
p3,M730,RSPv,34,3471386659,76780039.0,108958120,54070180
p3,M730,VISa,8,664181682,14283783.0,14863420,8182720
p3,M730,VISal,10,406479635,7271692.0,10822980,5242900
p3,M730,VISam,7,271385980,5222363.0,5064240,3635480
p3,M730,VISl,15,786294562,17300596.0,22593099,11827219
p3,M730,VISli,14,380100659,8911332.0,11768577,5668119
p3,M730,VISp,26,6044933494,110182965.0,194116462,82926698
p3,M730,VISpm,20,869257224,13225892.0,18451020,11620280
p3,M730,VISpor,4,92812496,2438299.0,2665840,1520260
p3,M730,VISrl,11,196557893,3853051.0,9624240,3039940
p60,M762,RSPagl,42,790644306,13360351.0,96783000,40472680
p60,M762,RSPd,43,1534982513,23245448.0,159040060,71565520
p60,M762,RSPv,37,1702668767,23375766.0,158906840,78988840
p60,M762,VISa,11,308864264,7286435.0,23053560,13409660
p60,M762,VISal,13,218359755,12902088.0,26123860,12815340
p60,M762,VISam,13,204082578,9702300.0,14706660,10167820
p60,M762,VISl,16,340740228,15485020.0,35184720,18715760
p60,M762,VISli,12,150708996,10340876.0,16393840,7908940
p60,M762,VISp,29,2946589813,199659211.0,274497660,142466181
p60,M762,VISpl,7,157517525,2516917.0,19128658,6685132
p60,M762,VISpm,20,237471162,15913265.0,24314380,11662540
p60,M762,VISpor,13,311416674,7774962.0,30508980,16645280
p60,M762,VISrl,17,534137695,39407878.0,55570480,29664600
p60,M763,RSPagl,45,962996001,25619300.0,142931823,50271361
p60,M763,RSPd,45,1813075922,44946631.0,223329761,89149161
p60,M763,RSPv,39,1636515817,29175321.0,151483477,74684918
p60,M763,VISa,13,407181955,6492729.0,36530940,20709600
p60,M763,VISal,5,81749157,2787671.0,8124680,4248600
p60,M763,VISam,11,157939570,8450529.0,12158660,8146000
p60,M763,VISl,21,640109384,36751197.0,64821979,32699539
p60,M763,VISli,18,286583928,15548177.0,34206997,15539759
p60,M763,VISp,28,3330490799,180368534.0,360795704,170906661
p60,M763,VISpl,7,224915456,8021365.0,28825821,10474080
p60,M763,VISpm,22,223858007,11486686.0,22373140,12286840
p60,M763,VISpor,18,459534934,22686631.0,52337017,25593098
p60,M763,VISrl,11,209235420,5301387.0,23449540,11606560
p60,M773,RSPagl,27,539330805,11681265.0,53643073,22536139
p60,M773,RSPd,26,1001229671,22713520.0,89127573,40944139
p60,M773,RSPv,22,1075131696,18989655.0,79968280,47602680
p60,M773,VISa,8,259167492,4717173.0,21787860,11453260
p60,M773,VISal,5,99015001,6578850.0,9179100,4461520
p60,M773,VISam,10,157685941,7642300.0,15371280,7620980
p60,M773,VISl,10,181961242,7601438.0,20488658,9395580
p60,M773,VISli,8,76950022,4781581.0,9328980,3891000
p60,M773,VISp,20,1500144298,83244505.0,125882265,65610174
p60,M773,VISpl,5,151968061,4673425.0,12994278,5772360
p60,M773,VISpm,12,100903946,3994273.0,9962900,4803280
p60,M773,VISpor,7,204458026,10827385.0,19002816,9756098
p60,M773,VISrl,9,182539344,8691149.0,19056000,8660000
p60,M776,RSPagl,27,477802078,21117455.0,52375636,21118720
p60,M776,RSPd,27,875294920,37855856.0,87814246,37953959
p60,M776,RSPv,23,908209416,26743486.0,78375240,42587180
p60,M776,VISa,8,269331624,11150394.0,23393900,11803940
p60,M776,VISal,4,108674768,12847356.0,7875180,3934240
p60,M776,VISam,7,157820957,11043342.0,10704680,5868740
p60,M776,VISl,14,351836941,24869117.0,29215779,14937300
p60,M776,VISli,10,156442214,17468823.0,13765520,5839200
p60,M776,VISp,21,2177464309,116452102.0,160840361,80391698
p60,M776,VISpl,4,79596419,1304579.0,9714099,2731100
p60,M776,VISpm,13,144893938,3836195.0,10480160,6366560
p60,M776,VISpor,8,194610029,8300120.0,17854019,9205439
p60,M776,VISrl,8,252058725,17852022.0,18337420,9150420
